UK,Max Temp,13.2,OCT,1913
UK,Max Temp,9.3,NOV,1983
UK,Max Temp,7.5,DEC,1951
UK,Max Temp,6.90,WIN,1922
UK,Max Temp,11.90,SPR,1929
UK,Max Temp,18.65,SUM,1994
UK,Max Temp,12.90,AUT,1920
UK,Max Temp,6.7,JAN,2017
UK,Max Temp,7.1,FEB,1971
UK,Max Temp,9.2,MAR,1972
UK,Max Temp,11.9,APR,1957
UK,Max Temp,15.1,MAY,1945
UK,Max Temp,17.8,JUN,1968
UK,Max Temp,19.4,JUL,1945
UK,Max Temp,19.2,AUG,1973
UK,Max Temp,16.7,SEP,1982
UK,Max Temp,13.1,OCT,1999
UK,Max Temp,9.3,NOV,1963
UK,Max Temp,7.5,DEC,1931
UK,Max Temp,6.87,WIN,2015
UK,Max Temp,11.88,SPR,1946
UK,Max Temp,18.63,SUM,1969
UK,Max Temp,12.89,AUT,1970
UK,Max Temp,6.7,JAN,2015
UK,Max Temp,7.1,FEB,1950
UK,Max Temp,9.2,MAR,1935
UK,Max Temp,11.8,APR,1974
UK,Max Temp,15.0,MAY,2012
UK,Max Temp,17.8,JUN,1966
UK,Max Temp,19.4,JUL,1943
UK,Max Temp,19.2,AUG,1926
UK,Max Temp,16.7,SEP,1980
UK,Max Temp,13.1,OCT,1986
UK,Max Temp,9.2,NOV,1982
UK,Max Temp,7.4,DEC,2014
UK,Max Temp,6.87,WIN,1993
UK,Max Temp,11.86,SPR,1982
UK,Max Temp,18.57,SUM,2001
UK,Max Temp,12.89,AUT,1955
UK,Max Temp,6.7,JAN,1994
UK,Max Temp,7.1,FEB,1934
UK,Max Temp,9.2,MAR,1912
UK,Max Temp,11.7,APR,1993
UK,Max Temp,15.0,MAY,2006
UK,Max Temp,17.8,JUN,1911
UK,Max Temp,19.4,JUL,1917
UK,Max Temp,19.1,AUG,1936
UK,Max Temp,16.7,SEP,1936
UK,Max Temp,13.1,OCT,1962
UK,Max Temp,9.2,NOV,1959
UK,Max Temp,7.4,DEC,2007
UK,Max Temp,6.82,WIN,1973
